"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1080082","Child Care Center","2nd Home Childcare LLC","2600 26th Ave S Ste 300","","","Minneapolis","MN","55406-4504","Hennepin","(612) 814-1531","Active","2nd Home Childcare LLC","104","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of preschool in the School Age 1 classrooms is 14.; Maximum number of preschool in the School Age 2 classrooms is 17.; Maximum number of preschool in the School Age 3 classrooms is 29.; Maximum number of preschool in the School Age 4 classr","Services: Day Program","Minnesota Department of Human Services","05/25/2016","12/01/2025","12/31/2026","   ","",
"1104562","Home and Community Based Services","A-Z Access Health Care Inc","2700 E LAKE ST STE 201","","","Minneapolis","MN","55406-1963","Hennepin","(612) 447-7835","Active","A-Z Access Health Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","07/13/2020","01/01/2026","12/31/2026","   ","",
"1112686","Home and Community Based Services","AAC Homecare LLC","2525 E FRANKLIN AVE STE 220","","","Minneapolis","MN","55406-1357","Hennepin","(613) 735-9812","Active","AAC Homecare LLC","   ","Basic Support Services: 24-hour emergency assistance; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/24/2023","01/01/2026","12/31/2026","   ","",
"1104560","Home and Community Based Services","AarkosMED Homecare LLC","2525 E FRANKLIN AVE STE 220","","","Minneapolis","MN","55406-1357","Hennepin","(612) 404-6664","Active","AarkosMED Homecare LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Crisis respite, in-home or out-of-home  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","04/28/2020","01/01/2026","12/31/2026","   ","",
"1106148","Home and Community Based Services","AARON CARE INC","4020 MINNEHAHA AVE STE 1065","","","Minneapolis","MN","55406-4600","Hennepin","(612) 298-7478","Active","AARON CARE INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Day Services: Day support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","10/26/2020","01/01/2026","12/31/2026","   ","",
"1095850","Child Care Center","ABC Learning Center Inc","2533 24th Ave S","","","Minneapolis","MN","55406     ","Hennepin","(612) 432-2452","Active","ABC Learning Center Inc","40 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/01/2019","01/01/2026","12/31/2026","   ","",
"1101636","Home and Community Based Services","ACMA HOMECARE INC","2625 E FRANKLIN AVE # 5","","","Minneapolis","MN","55406-1185","Hennepin","(612) 229-1119","Active","ACMA Homecare, Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","09/18/2019","01/01/2026","12/31/2026","   ","",
"1112094","Home and Community Based Services","AIMCARE LLC","2327 E FRANKLIN AVE STE 3","","","Minneapolis","MN","55406-4420","Hennepin","(952) 465-2211","Active","AIMCARE LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","10/19/2022","01/01/2026","12/31/2026","   ","info@aimcarellc.com",
"101938","Family Child Care","Anderson Carol A ","4316 40TH AVE S","","","Minneapolis","MN","55406-4002","Hennepin","(612) 245-0342","Active","Carol  Anderson","12 ","Residential Dwelling","No transporting of children under age eight.    ","Family Child Care","Hennepin County Human Services & Public Health Dept","01/01/1991","08/01/2024","07/31/2026","Yes","",
"1123961","Adult Day Care Services","Apex Adult Day Center Inc","3809 42ND AVE S","","","Minneapolis","MN","55406-3503","Hennepin","(210) 204-0342","Active","Apex Adult Day Center Inc","45 ","Age: 55 and older","None","Adult Day Care Services","Minnesota Department of Human Services","11/06/2025","01/01/2026","12/31/2026","   ","",
