"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1105134","Home and Community Based Services","Alpha Group Home LLC","2915 S WAYZATA BLVD","","","Minneapolis","MN","55405-2145","Hennepin","(612) 558-4384","Active","Alpha Group HOme LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","06/19/2020","01/01/2026","12/31/2026","   ","",
"1113198","Home and Community Based Services","Awin People Care LLC","2415 EMERSON AVE S STE 302","","","Minneapolis","MN","55405-6100","Hennepin","(651) 354-0398","Active","Siham Abdulkadir Ahmed","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/10/2023","01/01/2026","12/31/2026","   ","",
"1090286","Home and Community Based Services","Axis Home PCA Agency Inc","2417 FREMONT AVE S","","","Minneapolis","MN","55405-2648","Hennepin","(612) 245-0547","Active","AXIS HOME PCA AGENCY, INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/01/2018","01/01/2026","12/31/2026","   ","",
"830857","Children's Residential Facilities","Bridge for Youth (The)","1111 W 22nd St","","","Minneapolis","MN","55405     ","Hennepin","(612) 230-6702","Active","Bridge for Youth (The)","38 ","","RESTRICTIONS - Marlene's Place, 5 parents and 7 children of youth ages 0 - 3; Gloria's Place, 6 parents & 6 children of youth ages 0 - 3.","Unit name: Marlene's Place; Unit capacity: 12 ; Ages served: 16 through 20; Gender: Either; Services provided: Transitional Services     ; Specialized Setting Certifications: Pregnant and Parenting Youth     ;  Unit name: Emergency Shelter; Unit capacity: 14 ; Ages served: 10 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  Unit name: Gloria's Place; Unit capacity: 12 ; Ages served: 15 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Pregnant and Parenting Youth     ;  ","Minnesota Department of Human Services","09/18/1998","01/01/2026","12/31/2026","   ","j.hawkins@bridgeforyouth.org",
"1104591","Home and Community Based Services","Care101 Home Care LLC","2124 DUPONT AVE S STE G3","","","Minneapolis","MN","55405-2759","Hennepin","(612) 987-6486","Active","Care 101 Home Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment support services    ","None","","Minnesota Department of Human Services","05/05/2020","01/01/2026","12/31/2026","   ","",
"1112042","Home and Community Based Services","Careture Inc.","2415 EMERSON AVE S STE 202","","","Minneapolis","MN","55405-6000","Hennepin","(612) 232-5392","Active","Careture Inc.","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","03/10/2023","01/01/2026","12/31/2026","   ","",
"1107928","Home and Community Based Services","Caring Hands Health Services Inc","2415 EMERSON AVE S STE 203","","","Minneapolis","MN","55405-6000","Hennepin","(651) 558-8037","Active","CARING HANDS HEALTH SERVICES INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","02/19/2021","01/01/2025","12/31/2025","   ","",
"1103854","Child Care Center","Cedar Gland Child Care Center Inc","1525 Glenwood Ave","","","Minneapolis","MN","55405-1227","Hennepin","(612) 377-3447","Active","Cedar Gland Child Care Center Inc.","76 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/02/2020","01/01/2026","12/31/2026","   ","",
"1072780","Home and Community Based Services","Chez Nous, Inc.","2441 GIRARD AVE S","","","Minneapolis","MN","55405-2537","Hennepin","(612) 377-7877","Active","Chez Nous","   ","Residential Supports and Services: Foster Care services or supported living services; Community residential services; Family residential services    ","None","Satellite License Number: 1072782 (Home and Community Based Services - Community Residential Setting), Chez Nous; ","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1106292","Home and Community Based Services","Daryel Health LLC","2415 EMERSON AVE S STE 201","","","Minneapolis","MN","55405-6000","Hennepin","(619) 734-5650","Active","Daryel Health LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","01/01/2021","01/01/2026","12/31/2026","   ","",
"1106493","Home and Community Based Services","First Care Home Care LLC","2526 HENNEPIN AVE","","","Minneapolis","MN","55405-3564","Hennepin","(612) 701-7830","Active","First Care Home Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","10/23/2020","01/01/2026","12/31/2026","   ","info@firsthomecaremn.com",
"1080853","Child Care Center","Five Star Early Learning Center LLC","200 E Lyndale Ave N Ste 2","","","Minneapolis","MN","55405-1502","Hennepin","(612) 354-2450","Active","Five Star Early Learning Center LLC","57 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/10/2016","01/01/2026","12/31/2026","   ","",
"1104919","Certified Child Care Center","Harrison Rec Plus","503 Irving Ave N","","","Minneapolis","MN","55405-1263","Hennepin","(612) 370-4951","Active","City of Minneapolis Park Board","0  ","Ages Served: School Age","None","Services: Day Program","Minnesota Department of Human Services","09/03/2020","01/01/2025","12/31/2025","   ","",
"1097151","Child Care Center","Minneapolis Nature Preschool","252 Upton Ave S","","","Minneapolis","MN","55405-1947","Hennepin","(612) 413-6863","Active","Minneapolis Nature Preschool","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/08/2021","10/22/2025","12/31/2026","   ","",
"1086306","Home and Community Based Services","More Life Home Care","2915 WAYZATA BLVD","","","Minneapolis","MN","55405-2145","Hennepin","(612) 481-2046","Active","More Life Home Care","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","04/17/2017","01/01/2026","12/31/2026","   ","",
"1089768","Certified Child Care Center","Mpls Kids @ Kenwood","2013 Penn Ave S","","","Minneapolis","MN","55405-2455","Hennepin","(612) 668-3890","Active","Minneapolis Public School District 0001-03","0  ","Ages Served: Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","09/24/2018","01/01/2025","12/31/2025","   ","",
"1083298","Child Care Center","New Horizon Academy","2431 Hennepin Ave","","","Minneapolis","MN","55405-2605","Hennepin","(612) 354-2470","Active","New Horizon Child Care Inc.","156","Ages Served: Infants Toddlers Preschool","Maximum number of Infants in the Transition Inf/Tod classroom is 12.","Services: Day Program","Minnesota Department of Human Services","02/28/2017","01/01/2026","12/31/2026","   ","",
"1115605","Home and Community Based Services","Northland Home Health, LLC.","2415 EMERSON AVE S STE 204","","","Minneapolis","MN","55405-6000","Hennepin","(612) 601-8888","Active","Northland Home Health, LLC.","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Specialist services  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Day Services: Prevocational; Day support services  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","08/08/2025","01/01/2026","12/31/2026","   ","",
"1113270","Home and Community Based Services","Onyx Care Solutions","1307 2ND AVE N","","","Minneapolis","MN","55405-1803","Hennepin","(612) 278-4149","Active","Onyx Care Solutions","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","02/14/2023","01/01/2026","12/31/2026","   ","",
"1062331","Adult Day Care Services","Open Circle of Heritage Park","1015 4TH AVE N STE 103","","","Minneapolis","MN","55405-1177","Hennepin","(612) 843-4940","Active","Open Circle Adult Day Services","32 ","Age: 18 and older","None","Adult Day Care Services","Minnesota Department of Human Services","03/05/2012","01/01/2026","12/31/2026","   ","",
"1089387","Certified Child Care Center","Rec Plus- Kenwood","2101 W Franklin Ave","","","Minneapolis","MN","55405-2424","Hennepin","(612) 370-4941","Active","City of Minneapolis Park Board","0  ","Ages Served: School Age","None","Services: Day Program","Minnesota Department of Human Services","09/18/2018","01/01/2025","12/31/2025","   ","",
"1071799","Home and Community Based Services - Residential Services Facility","REM Hennepin, Inc. (Queen)","614 Queen Ave South","","","Minneapolis","MN","55405     ","Hennepin","(612) 377-5587","Active","REM Hennepin, Inc.","6  ","This residential facility license is a satellite operating under 245D-HCBS Program License Number 1071738; and providing ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1117720","Home and Community Based Services","Sunrise Home Health Care LLC","2415 EMERSON AVE S STE 3","","","Minneapolis","MN","55405-2602","Hennepin","(612) 503-4034","Active","Sunrise Home Health Care LLC","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","05/17/2023","01/01/2026","12/31/2026","   ","admin@sunrise-hhc.com",
"1094457","Child Care Center","Sweet Pea Montessori","300 Cedar Lake Rd S","","","Minneapolis","MN","55405-2009","Hennepin","(952) 236-9740","Active","Sweet Pea Montessori","21 ","Ages Served: Infants Toddlers","None","Services: Day Program","Minnesota Department of Human Services","09/07/2018","01/01/2026","12/31/2026","   ","",
"802471","Child Care Center","Temple Israel Early Childhood Center","2323 Fremont Ave S","","","Minneapolis","MN","55405-2693","Hennepin","(612) 374-0334","Active","Temple Israel of Minneapolis","102","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/01/1958","01/01/2026","12/31/2026","   ","",
"1102709","Substance Use Disorder Treatment","Villa at Bryn Mawr Outpatient Treatment Center","275 PENN AVE N","","","Minneapolis","MN","55405-1216","Hennepin","(612) 377-4723","Active","Villas at Bryn Mawr LLC","   "," Non-Residential Treatment - ages 21 and older; Gender: Either; Satellite Location(s): The Estates at Chateau 2106 2ND AVE S Minneapolis, MN  55404 ","None","Specializing in: the Treatment of Persons with a Substance Use and Mental Health Disorder; Approved Rate Enhancements: ","Minnesota Department of Human Services","02/01/2021","01/01/2026","12/31/2026","   ","",
"802629","Mental Health Clinic","Washburn Center for Children","1100 Glenwood Ave","","","Minneapolis","MN","55405     ","Hennepin","(612) 871-1454","Active","Washburn Center for Children","   ","Satellite Location(s): Bethune, 919 Emerson Ave N, Minneapolis, MN  55411; Bryn Mawr, 252 Upton Ave S, Minneapolis, MN  55405; Capstone/School Linked EPHS, 17185 Valley View Rd, Eden Prairie, MN  55346; Cedar Ridge Elementary, 8905 Braxton Dr, Eden Prairie, MN  55347; Central Middle School, 8025 School Rd, Eden Prairie, MN  55344; Eagle Heights Spanish Immersion, 13400 Staring Lake Pkwy, Eden Prairie, MN  55347; Eden Lake Elementary, 12000 Anderson Lakes Pkwy, Eden Prairie, MN  55344; Eden Prairie Childhood Center, 8100 SCHOOL RD, Eden Prairie, MN  55344; Elizabeth Hall, 1601 Aldrich Ave N, Minneapolis, MN  55411; EP Childhood Center, 8040 Mitchell Rd, Eden Prairie, MN  55344; EP High School, 17185 Valley View Rd, Eden Prairie, MN  55346; Forest Hills Elementary, 13708 Holly Rd, Eden Prairie, MN  55346; Hiawatha Elementary, 4201 42ND AVE S, Minneapolis, MN  55406; Howe Elementary, 3733 43RD AVE S, Minneapolis, MN  55406; Indian Mounds Elementary School, 9801 11TH AVE S, Bloomington, MN","","Mental Health Clinic","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
