"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1112654","Home and Community Based Services","1Nation Home Care Inc","2021 E HENNEPIN AVE STE 402-5","","","Minneapolis","MN","55413-2700","Hennepin","(612) 800-2677","Active","1 NATION HOME CARE INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training    ","None","","Minnesota Department of Human Services","01/27/2023","01/01/2026","12/31/2026","   ","1nationhomecare@gmail.com",
"810990","Substance Use Disorder Treatment","3R's Nuway Counseling Center","1404 CENTRAL AVE NE","","","Minneapolis","MN","55413-1517","Hennepin","(612) 789-8030","Closed as of 11/25/2025","Nuway House, Inc.","   "," Non-Residential Treatment - ages 18 and older; Gender: Either; Satellite Location(s):","None","Specializing in: the Treatment of Persons with a Substance Use and Mental Health Disorder; Approved Rate Enhancements: Co-occurring Disorders; ","Minnesota Department of Human Services","05/01/1997","01/01/2025","12/31/2025","   ","angela.hansen@nuway.org",
"1105583","Home and Community Based Services","Access Health LLC","2010 E HENNEPIN AVE STE 6 -209","","","Minneapolis","MN","55413-2760","Hennepin","(651) 675-7390","Active","ACCESS HEALTH LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","07/30/2020","01/01/2026","12/31/2026","   ","",
"1068784","Home and Community Based Services","AccessAbility, Inc. ","360 HOOVER ST NE","","","Minneapolis","MN","55413-2940","Hennepin","(612) 331-5958","Active","AccessAbility, Inc.","   ","In-Home Support Services: Semi-independent living skills   Day Services: Prevocational; Day support services  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1068785","Home and Community Based Services - Day Services Facility","AccessAbility, Inc.","360 Hoover St NE"," "," ","Minneapolis","MN","55413-2940","Hennepin","(612) 331-5958","Active","AccessAbility, Inc.","175","This day services facility license is a satellite operating under 245D-HCBS Program License Number 1068784; and providing Day Services: Pre-vocational; Employment exploration services; Employment support services; Day support services  ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1108187","Home and Community Based Services","Affinity Caregiver LLC","2021 E HENNEPIN AVE STE 130","","","Minneapolis","MN","55413-2717","Hennepin","(612) 532-2846","Active","Affinity Caregiver LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","02/24/2021","01/01/2026","12/31/2026","   ","Info@affinitycaregiver.com",
"1121987","Home and Community Based Services","Applewood Home Health Care LLC","2021 E HENNEPIN AVE STE 402-1","","","Minneapolis","MN","55413-2700","Hennepin","(612) 501-1331","Active","Applewood Home Health Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training  Residential Supports and Services: Foster Care services or supported living services; Community residential services    ","None","Satellite License Number: 1127695 (Home and Community Based Services - Community Residential Setting), Applewood Home Health Care LLC; Satellite License Number: 1127696 (Home and Community Based Services - Community Residential Setting), Applewood Home Health Care LLC; ","Minnesota Department of Human Services","10/11/2024","01/01/2025","12/31/2025","   ","",
"1041940","Family Child Care","Arzac Brenda ","1723 UNIVERSITY AVE NE","","","Minneapolis","MN","55413-1233","Hennepin","(651) 334-4202","Active","Brenda  Arzac","14 ","Residential Dwelling","This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Hennepin County Human Services & Public Health Dept","04/26/2006","01/01/2026","12/31/2026","Yes","",
"1113280","Child Care Center","Broadmain Academy Inc","119 Broadway St NE","","","Minneapolis","MN","55413     ","Hennepin","(612) 584-4131","Active","Broadmain Academy Inc","73 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/11/2022","01/01/2026","12/31/2026","   ","",
"1080363","Home and Community Based Services","Capital Home Health Care LLC","34 13TH AVE NE STE B004","","","Minneapolis","MN","55413-1084","Hennepin","(612) 886-7411","Active","Capital Home Health Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","02/24/2016","01/01/2026","12/31/2026","   ","capitalhomehealthcare@gmail.com",
